COMMENT,arora_u2319_problem_size_2319_lru_2021_04_03__02_53_19_k_3__d_2_cache_sizes_2_to_10731
SORT_BY,2319
LABEL,lru cache sizes=2 to 10731
10732,10731
10632,11186
10532,12823
10432,12844
10332,12848
10232,12872
10132,12890
10032,13369
9932,16241
9832,21420
9732,21442
9632,21447
9532,21450
9432,21450
9332,21450
9232,21454
9132,21455
9032,21455
8932,21456
8832,21456
8732,21456
8632,21456
8532,21456
8432,21456
8332,21456
8232,21456
8132,21456
8032,21456
7932,21458
7832,21460
7732,21460
7632,21460
7532,21460
7432,21460
7332,21460
7232,21460
7132,21460
7032,21460
6932,21460
6832,21460
6732,21460
6632,21460
6532,21460
6432,21460
6332,21460
6232,21460
6132,21460
6032,21460
5932,21460
5832,21460
5732,21460
5632,21460
5532,21617
5432,23392
5332,23569
5232,23576
5132,23677
5032,24349
4932,24576
4832,26727
4732,27938
4632,28490
4532,32048
4432,32156
4332,32163
4232,32176
4132,32179
4032,32179
3932,32180
3832,32181
3732,32181
3632,32185
3532,32185
3432,32185
3332,32185
3232,32185
3132,32185
3032,32185
2932,32185
2832,32330
2732,33465
2632,35502
2532,36592
2432,36731
2332,36922
2232,37555
2132,39037
2032,40202
1932,41628
1832,42804
1732,42889
1632,43086
1532,44077
1432,44301
1332,45409
1232,46018
1132,46823
1032,49133
932,51427
832,54369
732,57265
632,63575
532,66929
432,79582
332,89136
232,96660
132,110123
32,164948
